student,subject,score,attendance,term,date_recorded
Alex Thomas,Geography,65.06,77.79,Term 2,2025-05-25
Alex Thomas,Chemistry,53.34,85.59,Term 1,2025-09-06
Alex Thomas,Science,60.88,71.17,Term 1,2025-07-07
Alex Thomas,Geography,57.8,72.62,Term 1,2025-12-10
Jane Wilson,Physics,61.92,83.24,Term 3,2025-12-20
Jane Wilson,Math,71.02,89.94,Term 2,2025-02-22
Jane Wilson,Science,78.15,88.93,Term 2,2025-03-04
Jane Wilson,Geography,79.71,78.77,Term 2,2025-05-06
Olivia Johnson,Physics,79.44,87.18,Term 2,2025-08-04
Olivia Johnson,English,75.09,95.97,Term 1,2025-01-07
Olivia Johnson,English,91.88,91.96,Term 2,2025-11-07
Olivia Johnson,English,94.71,83.82,Term 3,2025-07-01
Olivia Johnson,Physics,67.1,82.2,Term 3,2025-05-27
Jane Johnson,History,75.86,86.0,Term 1,2025-03-13
Jane Johnson,History,95.61,97.43,Term 2,2025-02-17
Jane Johnson,English,54.62,71.64,Term 2,2025-03-27
Jane Johnson,Chemistry,91.1,94.27,Term 2,2025-05-19
Lisa Thomas,Geography,87.36,97.08,Term 1,2025-05-08
Lisa Thomas,Chemistry,62.87,78.87,Term 1,2025-06-22
Lisa Thomas,Math,68.02,84.51,Term 2,2025-09-26
Lisa Thomas,Chemistry,50.31,82.16,Term 3,2025-09-25
David Thomas,Math,72.65,80.02,Term 2,2025-07-12
David Thomas,Physics,62.24,90.99,Term 3,2025-05-03
David Thomas,Geography,56.73,83.7,Term 2,2025-11-07
David Thomas,Math,53.29,77.41,Term 2,2025-03-23
David Thomas,Math,90.37,86.14,Term 2,2025-10-05
Lisa Johnson,Physics,75.97,85.36,Term 1,2025-06-25
Lisa Johnson,History,86.63,99.9,Term 1,2025-04-12
Lisa Johnson,Math,82.18,83.53,Term 1,2025-12-20
Lisa Johnson,Chemistry,97.93,95.33,Term 3,2025-11-13
Lisa Johnson,English,84.37,94.13,Term 1,2025-09-26
David Jackson,Science,70.26,79.5,Term 1,2025-11-24
David Jackson,Physics,73.27,94.61,Term 3,2025-01-02
David Jackson,Science,60.66,93.72,Term 2,2025-08-24
Olivia Anderson,Geography,67.04,85.05,Term 3,2025-06-24
Olivia Anderson,Physics,77.25,97.7,Term 3,2025-08-27
Olivia Anderson,Science,99.03,92.02,Term 1,2025-09-06
John Johnson,Science,73.13,83.65,Term 1,2025-10-28
John Johnson,Science,63.34,83.7,Term 2,2025-06-05
John Johnson,History,84.15,81.69,Term 1,2025-02-15
John Johnson,Geography,91.76,72.8,Term 3,2025-02-04
Michael White,Chemistry,80.5,81.51,Term 2,2025-07-25
Michael White,History,95.7,99.26,Term 3,2025-12-10
Michael White,History,89.15,91.23,Term 2,2025-08-25
Michael White,History,93.22,98.81,Term 3,2025-12-22
Michael White,English,73.92,80.82,Term 1,2025-06-25
Daniel Smith,Physics,80.64,91.54,Term 3,2025-04-27
Daniel Smith,History,54.31,91.44,Term 3,2025-09-18
Daniel Smith,Physics,80.08,90.46,Term 3,2025-09-02
Lisa Lee,History,99.6,91.27,Term 3,2025-01-20
Lisa Lee,Physics,88.55,79.93,Term 1,2025-09-23
Lisa Lee,Math,65.03,78.66,Term 3,2025-02-20
Lisa Lee,Chemistry,94.82,97.83,Term 1,2025-10-22
David Wilson,Geography,85.25,75.66,Term 1,2025-01-18
David Wilson,Chemistry,55.97,77.28,Term 3,2025-05-18
David Wilson,Physics,64.75,86.35,Term 1,2025-06-14
David Wilson,Chemistry,67.41,86.79,Term 2,2025-08-25
Emily Lee,Geography,74.93,75.67,Term 1,2025-04-26
Emily Lee,Physics,69.69,80.26,Term 2,2025-04-14
Emily Lee,English,92.91,82.86,Term 3,2025-07-19
John Smith,Chemistry,64.36,75.1,Term 3,2025-03-16
John Smith,Physics,62.7,99.77,Term 3,2025-08-20
John Smith,English,91.88,86.16,Term 1,2025-12-24
Olivia Jackson,Science,57.98,80.49,Term 1,2025-02-14
Olivia Jackson,Science,57.47,84.09,Term 1,2025-06-17
Olivia Jackson,Science,53.72,93.22,Term 2,2025-08-18
Olivia Jackson,Physics,86.19,92.28,Term 1,2025-07-10
Alex Johnson,Geography,73.72,88.07,Term 3,2025-04-13
Alex Johnson,Geography,63.43,97.28,Term 1,2025-04-21
Alex Johnson,Math,84.16,97.59,Term 3,2025-07-25
Jane Jackson,Science,59.89,93.67,Term 3,2025-10-26
Jane Jackson,English,74.69,75.56,Term 2,2025-12-16
Jane Jackson,History,65.52,82.61,Term 1,2025-12-10
Olivia Johnson,Math,67.83,79.54,Term 3,2025-01-27
Olivia Johnson,Science,92.32,83.19,Term 2,2025-11-04
Olivia Johnson,Science,77.67,80.09,Term 1,2025-01-02
Olivia Johnson,History,56.67,89.44,Term 1,2025-02-21
Olivia Johnson,Chemistry,50.94,83.07,Term 3,2025-12-21
Alex Johnson,Chemistry,64.79,72.67,Term 3,2025-02-07
Alex Johnson,Math,56.53,83.96,Term 1,2025-12-24
Alex Johnson,Science,92.59,81.98,Term 2,2025-01-25
Alex Lee,Math,97.37,81.95,Term 3,2025-04-22
Alex Lee,Math,82.03,82.12,Term 1,2025-02-01
Alex Lee,Chemistry,52.24,94.6,Term 2,2025-01-15
Alex Lee,English,92.97,90.05,Term 1,2025-10-10
Alex Lee,Science,97.11,93.69,Term 1,2025-06-16
David Brown,Chemistry,57.2,90.09,Term 1,2025-10-22
David Brown,Physics,54.3,88.04,Term 2,2025-12-18
David Brown,Math,76.47,85.03,Term 1,2025-07-11
David Brown,Science,67.94,71.83,Term 2,2025-01-16
David Brown,Physics,91.41,72.11,Term 2,2025-11-11
David Wilson,Science,98.51,79.0,Term 1,2025-11-11
David Wilson,English,52.79,73.93,Term 1,2025-08-07
David Wilson,English,57.06,84.4,Term 2,2025-05-02
David Wilson,Math,64.79,93.65,Term 2,2025-12-26
David Wilson,Science,64.72,72.71,Term 2,2025-07-04
Emily Jackson,Chemistry,69.44,91.3,Term 2,2025-09-19
Emily Jackson,History,93.13,93.8,Term 1,2025-11-21
Emily Jackson,Science,76.0,87.97,Term 1,2025-12-20
Emily Jackson,History,61.52,74.75,Term 2,2025-12-25
Emily Smith,Chemistry,65.56,86.61,Term 3,2025-06-11
Emily Smith,Science,84.03,90.32,Term 2,2025-01-03
Emily Smith,Science,93.21,82.97,Term 2,2025-06-11
Jane Smith,History,81.74,84.51,Term 3,2025-07-02
Jane Smith,Geography,64.19,97.19,Term 3,2025-05-14
Jane Smith,History,87.35,88.33,Term 2,2025-11-11
Jane Smith,Science,68.53,95.38,Term 1,2025-10-14
Jane Lee,Geography,96.74,84.08,Term 2,2025-02-22
Jane Lee,Geography,57.51,97.39,Term 1,2025-05-02
Jane Lee,Math,86.28,79.34,Term 3,2025-03-28
Olivia Lee,Math,90.3,88.71,Term 1,2025-03-20
Olivia Lee,Science,83.64,74.4,Term 3,2025-12-27
Olivia Lee,History,64.18,96.8,Term 1,2025-05-02
Olivia Lee,Math,96.6,87.5,Term 1,2025-07-18
David Thomas,Geography,92.71,97.19,Term 3,2025-01-04
David Thomas,History,67.74,93.79,Term 3,2025-07-25
David Thomas,Physics,66.29,85.37,Term 1,2025-03-25
David Thomas,History,55.09,73.94,Term 3,2025-08-10
David Thomas,Geography,93.43,84.42,Term 3,2025-12-12
Alex Wilson,History,68.55,78.42,Term 2,2025-08-14
Alex Wilson,Geography,76.2,83.88,Term 1,2025-07-22
Alex Wilson,Science,91.17,81.34,Term 3,2025-05-26
Alex Wilson,Geography,90.62,96.38,Term 1,2025-08-14
Alex Wilson,English,62.3,76.55,Term 3,2025-08-13
John Anderson,Science,88.73,76.79,Term 1,2025-03-19
John Anderson,English,59.43,77.31,Term 2,2025-04-28
John Anderson,Chemistry,82.29,87.26,Term 1,2025-12-08
Alex Anderson,Geography,89.76,76.77,Term 1,2025-04-27
Alex Anderson,Science,50.12,91.31,Term 1,2025-08-02
Alex Anderson,Geography,62.75,99.16,Term 1,2025-07-23
Alex Anderson,Math,73.86,88.94,Term 3,2025-06-26
Alex Anderson,Science,70.72,81.98,Term 2,2025-09-11
Alex Brown,Geography,87.6,95.38,Term 1,2025-04-07
Alex Brown,Science,58.22,76.89,Term 3,2025-06-07
Alex Brown,Geography,99.46,87.54,Term 3,2025-08-26
Daniel Anderson,Science,67.93,83.41,Term 1,2025-04-15
Daniel Anderson,Geography,71.33,75.56,Term 3,2025-04-22
Daniel Anderson,Chemistry,55.88,76.28,Term 1,2025-01-19
Daniel Anderson,English,53.55,91.13,Term 3,2025-02-03
Daniel Anderson,Geography,90.28,88.07,Term 2,2025-03-20
Daniel Taylor,Chemistry,80.43,72.48,Term 3,2025-07-22
Daniel Taylor,Physics,79.0,73.11,Term 1,2025-05-03
Daniel Taylor,English,62.13,98.18,Term 3,2025-04-08
Emily Anderson,Science,95.38,86.85,Term 2,2025-07-26
Emily Anderson,Physics,75.69,97.11,Term 3,2025-07-21
Emily Anderson,Science,92.75,73.14,Term 2,2025-05-20
Alex Thomas,History,88.73,82.27,Term 3,2025-07-19
Alex Thomas,Physics,86.53,77.14,Term 2,2025-05-18
Alex Thomas,Math,60.88,79.86,Term 3,2025-11-23
Alex Thomas,Math,99.55,86.57,Term 1,2025-07-20
Emily Jackson,Geography,91.92,83.72,Term 3,2025-05-26
Emily Jackson,Physics,97.03,99.23,Term 3,2025-09-28
Emily Jackson,Math,80.33,89.72,Term 3,2025-01-10
Emily Jackson,Math,66.21,95.57,Term 2,2025-12-11
Emily Jackson,English,88.01,98.24,Term 3,2025-10-05
Lisa Lee,Physics,75.2,83.82,Term 3,2025-04-10
Lisa Lee,Geography,67.36,91.03,Term 2,2025-03-11
Lisa Lee,Physics,93.19,83.69,Term 3,2025-07-01
Jane Johnson,History,93.99,91.13,Term 1,2025-09-11
Jane Johnson,Science,94.13,83.61,Term 1,2025-04-01
Jane Johnson,Chemistry,71.32,94.97,Term 1,2025-06-03
Jane Johnson,History,98.38,99.31,Term 2,2025-08-19
Jane Johnson,Math,87.38,77.52,Term 3,2025-11-25
Daniel Smith,Geography,84.16,83.9,Term 3,2025-06-09
Daniel Smith,Physics,59.58,89.28,Term 1,2025-10-22
Daniel Smith,History,97.96,87.58,Term 3,2025-08-25
Daniel Smith,Chemistry,66.7,84.26,Term 3,2025-11-23
Michael Smith,History,55.63,98.61,Term 2,2025-02-02
Michael Smith,History,76.0,81.0,Term 1,2025-01-20
Michael Smith,History,52.63,82.23,Term 2,2025-06-25
Michael Smith,Science,84.75,92.21,Term 3,2025-11-28
Emily Johnson,English,58.17,89.35,Term 3,2025-08-11
Emily Johnson,English,71.64,72.08,Term 1,2025-12-11
Emily Johnson,Physics,96.34,85.58,Term 2,2025-09-15
Michael Jackson,Math,78.25,90.33,Term 2,2025-07-23
Michael Jackson,Physics,50.26,78.78,Term 3,2025-09-08
Michael Jackson,English,85.67,89.62,Term 3,2025-12-11
Emily Johnson,Geography,92.39,75.47,Term 3,2025-07-17
Emily Johnson,Chemistry,88.96,97.28,Term 2,2025-06-26
Emily Johnson,Geography,56.8,96.7,Term 1,2025-07-26
Michael Taylor,Physics,84.91,81.96,Term 1,2025-01-04
Michael Taylor,English,54.59,90.02,Term 2,2025-03-16
Michael Taylor,English,79.61,72.97,Term 3,2025-06-07
Michael Taylor,Science,71.41,84.27,Term 1,2025-06-12
John White,Chemistry,55.86,90.43,Term 1,2025-04-16
John White,Physics,79.4,71.9,Term 1,2025-01-01
John White,Science,60.02,75.19,Term 2,2025-06-10
John White,Math,91.41,90.18,Term 2,2025-12-24
Olivia Anderson,English,96.5,77.45,Term 2,2025-03-03
Olivia Anderson,Physics,63.59,86.77,Term 1,2025-10-01
Olivia Anderson,Physics,94.81,70.99,Term 3,2025-01-11
Olivia Smith,Physics,91.32,85.53,Term 3,2025-06-06
Olivia Smith,Chemistry,78.17,83.05,Term 3,2025-11-07
Olivia Smith,Math,58.19,73.21,Term 2,2025-01-24
Olivia Smith,Physics,94.62,99.86,Term 2,2025-11-24
Olivia Smith,Chemistry,67.81,76.27,Term 1,2025-02-27
Daniel White,Math,64.09,95.14,Term 2,2025-07-21
Daniel White,Chemistry,73.61,73.83,Term 1,2025-10-07
Daniel White,History,72.42,76.03,Term 3,2025-10-13
Daniel White,Chemistry,93.88,81.53,Term 3,2025-12-20
Alex Brown,Physics,76.16,92.7,Term 2,2025-02-28
Alex Brown,English,64.05,96.13,Term 2,2025-08-02
Alex Brown,English,91.02,75.14,Term 2,2025-12-14
Lisa White,History,97.57,98.1,Term 3,2025-03-16
Lisa White,Physics,92.98,84.96,Term 2,2025-10-05
